color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Profit
Color,Sam Mendes,602.0,148.0,0.0,161.0,Rory_Kinnear,11000.0,200074175.0,Christoph_Waltz,Spectre ,275868,11700,Stephanie_Sigman,1.0,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,PG-13,245000000.0,2015.0,393.0,6.8,2.35,85000,Spectre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-44925825.0
Color,Christopher Nolan,813.0,164.0,22000.0,23000.0,Christian_Bale,27000.0,448130642.0,Tom_Hardy,The Dark Knight Rises ,1144337,106759,Joseph_Gordon-Levitt,0.0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,2.35,164000,The_Dark_Knight_Rises,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,198130642.0
Color,Andrew Stanton,462.0,132.0,475.0,530.0,Samantha_Morton,640.0,73058679.0,Daryl_Sabara,John Carter ,212204,1873,Polly_Walker,1.0,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,2.35,24000,John_Carter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-190641321.0
Color,Nathan Greno,324.0,100.0,15.0,284.0,Donna_Murphy,799.0,200807262.0,Brad_Garrett,Tangled ,294810,2036,M.C._Gainey,1.0,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,1.85,29000,Tangled,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,-59192738.0
Color,Joss Whedon,635.0,141.0,0.0,19000.0,Robert_Downey_Jr.,26000.0,458991599.0,Chris_Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett_Johansson,4.0,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,2.35,118000,Avengers_Age_of_Ultron,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,208991599.0
Color,Zack Snyder,673.0,183.0,0.0,2000.0,Lauren_Cohan,15000.0,330249062.0,Henry_Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan_D._Purwin,0.0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,USA,PG-13,250000000.0,2016.0,4000.0,6.9,2.35,197000,Batman_v_Superman_Dawn_of_Justice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80249062.0
Color,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth_Wilson,40000.0,89289910.0,Johnny_Depp,The Lone Ranger ,181792,45757,Tom_Wilkinson,1.0,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,2.35,48000,The_Lone_Ranger,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-125710090.0
Color,Zack Snyder,733.0,143.0,0.0,748.0,Christopher_Meloni,15000.0,291021565.0,Henry_Cavill,Man of Steel ,548573,20495,Harry_Lennix,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,2.35,118000,Man_of_Steel,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,66021565.0
Color,Joss Whedon,703.0,173.0,0.0,19000.0,Robert_Downey_Jr.,26000.0,623279547.0,Chris_Hemsworth,The Avengers ,995415,87697,Scarlett_Johansson,3.0,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,1.85,123000,The_Avengers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,403279547.0
Color,Rob Marshall,448.0,136.0,252.0,1000.0,Sam_Claflin,40000.0,241063875.0,Johnny_Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen_Graham,4.0,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,2.35,58000,Pirates_of_the_Caribbean_On_Stranger_Tides,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8936125.0
Color,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael_Stuhlbarg,10000.0,179020854.0,Will_Smith,Men in Black 3 ,268154,12572,Nicole_Scherzinger,1.0,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,1.85,40000,Men_in_Black_3,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-45979146.0
Color,Peter Jackson,422.0,164.0,0.0,773.0,Adam_Brown,5000.0,255108370.0,Aidan_Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James_Nesbitt,0.0,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,2.35,65000,The_Hobbit_The_Battle_of_the_Five_Armies,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5108370.0
Color,Marc Webb,599.0,153.0,464.0,963.0,Andrew_Garfield,15000.0,262030663.0,Emma_Stone,The Amazing Spider-Man ,451803,28489,Chris_Zylka,0.0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,2.35,56000,The_Amazing_SpiderMan,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32030663.0
Color,Ridley Scott,343.0,156.0,0.0,738.0,William_Hurt,891.0,105219735.0,Mark_Addy,Robin Hood ,211765,3244,Scott_Grimes,0.0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,2.35,17000,Robin_Hood,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-94780265.0
Color,Peter Jackson,509.0,186.0,0.0,773.0,Adam_Brown,5000.0,258355354.0,Aidan_Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James_Nesbitt,6.0,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,2.35,83000,The_Hobbit_The_Desolation_of_Smaug,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33355354.0
Color,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett_Johansson,21000.0,407197282.0,Robert_Downey_Jr.,Captain America: Civil War ,272670,64798,Chris_Evans,0.0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,PG-13,250000000.0,2016.0,19000.0,8.2,2.35,72000,Captain_America_Civil_War,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,157197282.0
Color,Peter Berg,377.0,131.0,532.0,627.0,Alexander_Skarsgård,14000.0,65173160.0,Liam_Neeson,Battleship ,202382,26679,Tadanobu_Asano,0.0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,PG-13,209000000.0,2012.0,10000.0,5.9,2.35,44000,Battleship,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-143826840.0
